sentence,offsets,correction,old_type,new_type,comment
"So I think that speaking activity should be filmed as you can see and know real us and funny as well .
",18 18,,M:OTHER,,
"Because I need to improve my italian and I am taking a very important exam next year .
",7 8,,R:OTHER,,
"Because I usually go on camping - site holiday , with my friends .
",6 8,,U:OTHER,,
"Firstly , you asked me about the period I 'd prefer to travel : For me , the only solution is July , because I 've already something planned in August .
",5 8,,R:OTHER,,
"How is the weather at this period of the year ?
",0 4,,R:OTHER,,
"I think that you ca n't understand all the links between the events whitout reading the book more than one time .
",19 21,,R:OTHER,,
"A serious theatre ca n't miss such an important thing , the starting - time .
",12 15,,R:OTHER,,
"She works as a model , and she was advicing him about which clothes , etc , ... buy for her .
",12 13,,R:OTHER,,
"Pat could n't keep that secret , and in spite of helping Marie , she made a couple disappear .
",18 19,,R:OTHER,,
"I 'm Omadar , a spanish male of eighteen years old who is spending in this town a week holiday .
",14 20,,R:OTHER,,
"I decided to enjoy a play at the theatre wich you 're the manager to see the "" London 's newest and best musical show . ""
",3 4,,R:OTHER,,
"Also , the play started fourty five minutes late than the starting hour .
",5 6,,R:OTHER,,
"Also , the play started fourty five minutes late than the starting hour .
",11 13,,R:OTHER,,
"I can understand that a play can start fifteen minutes late , but not fourty five .
",14 15,,R:OTHER,,
"Your sincerelly ,
",0 1,,R:OTHER,,
"It 's a good question , because I never had asked it to myself .
",8 14,,R:OTHER,,
"It changed my life , because with it I can discover more information than a newspaper , and also information of all around the world , that possibly never I can access without Internet .
",14 14,,M:OTHER,,
"It changed my life , because with it I can discover more information than a newspaper , and also information of all around the world , that possibly never I can access without Internet .
",26 27,,R:OTHER,,
"It changed my life , because with it I can discover more information than a newspaper , and also information of all around the world , that possibly never I can access without Internet .
",27 31,,R:OTHER,,
"You can comunicate with people from place were you never can imagine to have a trip because it will be too expensive .
",7 8,,R:OTHER,,
"You can comunicate with people from place were you never can imagine to have a trip because it will be too expensive .
",12 16,,R:OTHER,,
"But , if you do n't like to use the keyboard to tell something or comunicate , you can use video conference , a sistem wich you can talk with other people simply with a microphone and speakers .
",15 16,,R:OTHER,,
"Also is the possibility of download things to your pc like software , pictures and also , music .
",3 5,,R:OTHER,,
"The modern technologies make me able to listen the music I 've downloaded with the same quality as a CD , and if I buy a reproductor , I can wear this music to everywere .
",3 5,,R:OTHER,,
"No electricity , no canalized water , no healthy water , no TV 's , no phones , no PC 's .. I 'm afraid that the people on the ancient times lived although they do n't have anything of these things , but me and everyone of this times , I 'm afraid that we would n't like return to this life .
",38 39,,R:OTHER,,
"So , if the price goes down is because anything new is at the moment for sell .
",13 16,,R:OTHER,,
"How can we go our wearing thouse clothes ? '
",4 5,,R:OTHER,,
"I 'm writing to you because I want you to give the money back for your "" London 's newest and best musical show : Over the rainbow "" , presented in the Circle Theatre .
",14 15,,R:OTHER,,
"Moreover I had to wait forty five minutes to see the beginning of the show .
",8 10,,R:OTHER,,
"Hoping you 'll satisfy my request .
",3 4,,R:OTHER,,
"However , we 've started to search an idea for it for one months .
",7 9,,U:OTHER,,
"In the beginning , I wanted to bring him in my house where everybody would wait for him .
",0 3,,R:OTHER,,
"So Sigone found the greatest idea .
",2 3,,R:OTHER,,
"According to Camp California in the U.S.A. I expect to traveling on July because I will have a long holiday break on that time and my children have to go to France with student 's school on July as well .
",0 2,,R:OTHER,,
"According to Camp California in the U.S.A. I expect to traveling on July because I will have a long holiday break on that time and my children have to go to France with student 's school on July as well .
",33 35,,U:OTHER,,
"How is about an accommodation . I prefer to live in tents because I feel very natural .
",0 1,,R:OTHER,,
"Can you imagine how exsiting when we stay in the dark and very quite and we can hear a sound of animal .
",5 5,,M:OTHER,,
"Can you imagine how exsiting when we stay in the dark and very quite and we can hear a sound of animal .
",13 14,,R:OTHER,,
"How 's amazing that ?
",1 3,,R:OTHER,,
"I think I can do it very well .
",5 6,,R:OTHER,,
"It was very long time as I did n't write the letter to you .
",7 10,,R:OTHER,,
"Today I going to write about the experience of helping at a pop concert as I went from last month , it has got a lot of thing to talk about .
",20 22,,R:OTHER,,
"Secondly it is the super star as they came to show at concert .
",4 6,,R:OTHER,,
"Secondly it is the super star as they came to show at concert .
",6 8,,R:OTHER,,
"By the way I had done many thing in that concert .
",6 7,,R:OTHER,,
"They had to check when people came in the hall and I was the one who checking the tickets as well .
",13 16,,U:OTHER,,
"So you have to explaining too many time to make people clamed down and standed in the row .
",6 7,,R:OTHER,,
"In the further more if you want to go there .
",2 4,,U:OTHER,,
"From my point of view , I think tents are better than log cabins , so please , could you accomodate me in a tent ?
",20 22,,R:OTHER,,
"This is one of a normal scene when a mother and her daughter are buying and getting clothes from the shelves .
",2 4,,U:OTHER,,
"This is one of a normal scene when a mother and her daughter are buying and getting clothes from the shelves .
",14 15,,R:OTHER,,
"That is what most of the women love .
",4 6,,U:OTHER,,
"That 's so good when you have money for joy it but , appart from that , there are many problems .
",9 10,,R:OTHER,,
"On the one hand , a big problem are the children .
",0 4,,R:OTHER,,
"When they go to shopping with their mothers , they want to buy all the things that their sight reach : doors , little cars , films ... but , when their mothers see a good thing that they want to buy , there are the children : crying because they are tired for shopping all the day .
",17 20,,R:OTHER,,
"On the other hand there is a big problem : the mony .
",0 4,,R:OTHER,,
"People buy and buy unnecessary things but , when they arrives in their houses , they can see an empty wallet .
",10 14,,R:OTHER,,
"So , do you believe that a shopping bag like this one is an enjoyable shopping day ?
",15 17,,R:OTHER,,
"Secoundly , I would be very grateful if you can accommodate me in tents rather than long cabins .
",16 17,,R:OTHER,,
"Even though I brought discount taken which I was given by travel agency .
",5 6,,R:OTHER,,
"People will put on fitted - suit such as diving suit . or perhaps nothing to wear .
",5 7,,R:OTHER,,
"People will put on fitted - suit such as diving suit . or perhaps nothing to wear .
",14 17,,R:OTHER,,
"Or maybe we will not need to meet each other no longer .
",10 11,,R:OTHER,,
"The most important things is the fugure , such as long legs or pear - sharped .
",15 16,,R:OTHER,,
"I was always attracted to it but never had an opportunity .
",1 3,,R:OTHER,,
"First I was supposed to help at the refreshment spot for the fans but some 15 minutes before beginning I was told to go to the backstage and help with the refreshment for the musicians , technicians and others who worked there .
",24 26,,U:OTHER,,
"This time I was helping the medical workers who had full hands with fainted teenage girls .
",10 12,,R:OTHER,,
"This time I was helping the medical workers who had full hands with fainted teenage girls .
",13 16,,R:OTHER,,
"First , it seemed to me odd because I did n't understand why they faint , but as the concert went on , the heat in the air was increasing and so was the number of the fainted .
",37 38,,R:OTHER,,
"I guess you can imagine how happy and excited I am at this time .
",11 14,,R:OTHER,,
"For the date of the travel , I wonder if it would be possible in July because I 'm going to pass a very important exam at the end of June .
",0 1,,R:OTHER,,
"For the date of the travel , I wonder if it would be possible in July because I 'm going to pass a very important exam at the end of June .
",2 6,,R:OTHER,,
"The activities listed in your letter seemded to be all interesting . I choosed to do baskelball ( I play in a club , I have a good level ) and photography ( there must be beautiful pictures to take in California ) .
",6 10,,R:OTHER,,
"The activities listed in your letter seemded to be all interesting . I choosed to do baskelball ( I play in a club , I have a good level ) and photography ( there must be beautiful pictures to take in California ) .
",25 29,,R:OTHER,,
"So I took the train to Lausanne ( I live in Lavaux and it 's impossible to find a corect pair of sneakers in this whole damned city ! ) to buy a new pair to play outdoor this summer .
",18 20,,R:OTHER,,
"After having visited shops during 10 hours and tried at least 2,000 shoes , I finally found what I was looking for .
",2 3,,R:OTHER,,
"According to the activities , I would like to do some painting , which I am quite good at .
",0 2,,R:OTHER,,
"May I ask you how much money do I need and which sort of clothes do you advise me to take ?
",11 12,,R:OTHER,,
"My job was as simple as selling ice - creams .
",3 6,,R:OTHER,,
"You might say that it is quite boring , but it was so funny .
",12 13,,R:OTHER,,
"You might say that it is quite boring , but it was so funny .
",13 14,,R:OTHER,,
"Because we have a free time on 15 March afternoon .
",9 9,,M:OTHER,,
"However , this robot can not replace of mother or wife .
",7 8,,R:OTHER,,
"I would like to stay at long cabins because I have stayed at tents many times in my childhood .
",6 7,,R:OTHER,,
"Your faithfully ,
",0 1,,R:OTHER,,
"I told you before that concert was performed by Elton John , so there were a lot of famouse people .
",4 11,,R:OTHER,,
"When I saw Jullia Roberts , I was socked .
",8 9,,R:OTHER,,
"July is also good because the wethear is warm and I could enjoyed mor the time that I will spend in the camp .
",13 23,,R:OTHER,,
"If yes how much ?
",1 2,,R:OTHER,,
"I hope I 've answered all you questions and I would be please if mine could also be answered .
",12 13,,R:OTHER,,
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .
",32 35,,R:OTHER,,
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .
",38 39,,R:OTHER,,
"I arrived there , at 19:15 , the show was supposed to start at 19.30 , but started at 20:15 , it can not be possible that a schedule for a show have had a big change .
",32 37,,R:OTHER,,
"Also was said that Discounts will be available , but I did n't received any discount as you were cheating us . I know that you have a big responsability but if you told something to people , do it .
",38 39,,R:OTHER,,
"On the other hand , the theatre Restaurant was closed because they 've got a problem with the schedule 's organization .
",0 4,,R:OTHER,,
"I am so disappointed with this , that I am in all my right to ask for some money back , your theatre show was n't expected .
",10 14,,R:OTHER,,
"Since I 've got a computer with Internet , my social life has changed .
",7 7,,M:OTHER,,
"This has opened another world to me , distances are n't so sad , they are more close .
",16 18,,R:OTHER,,
"It is incredible how it opens to you another reality , a different view of life .
",6 8,,U:OTHER,,
"Now I have a different style of life , I am more open to world 's problems and progress .
",5 8,,R:OTHER,,
"Last month I have been in London for a week to visit your wonderful city and with the intention of seeing at your Thetre the famous musical show Over the rainbow but in all my life I have never had such a disappointing evening .
",21 31,,R:OTHER,,
"The starring changed and this was the worst surprise I could have .
",1 2,,R:OTHER,,
"Your Sinceraly
",0 1,,R:OTHER,,
"We are in the ages of the technologic development it 's out of doubt .
",9 9,,M:OTHER,,
"We are in the ages of the technologic development it 's out of doubt .
",9 13,,R:OTHER,,
"What could be out of control of technology ?
",1 8,,R:OTHER,,
"Nowadays especially in the west area of the world science and technology have done great , enormous steps in directions of the progress .
",19 22,,R:OTHER,,
"I can have my homeworks done by a calculator etc .
",2 8,,R:OTHER,,
"For me it 's very important to have my mobile and computer never broken .
",6 12,,R:OTHER,,
"Secondly , we saw last Saturday in the Oxfor News one advertisement about the London Fashion and Leisure Show and we would like to know if could be posible to inclued this show in our tour .
",10 11,,R:OTHER,,
"The show is going to take place in the Gernal Exhibition Hall in London , the thurday 14 of March , so could be a good idea to see this show intead of go to Science Museum .
",15 17,,R:OTHER,,
"We think that it could be great opportunity because in one day we can see every thing about fashion clothes , new makes up and hayrstyles .
",17 18,,R:OTHER,,
"We think that it could be great opportunity because in one day we can see every thing about fashion clothes , new makes up and hayrstyles .
",22 23,,R:OTHER,,
"Furthermore is student free .
",1 4,,R:OTHER,,
"I you would like more information do not hesitate to contact me .
",0 1,,R:OTHER,,
"I have never sailed but I am a well swimmer .
",8 9,,R:OTHER,,
"Last summer I took a course of one week in Switzerland of climbing so I have good knowledge of this sport .
",5 13,,R:OTHER,,
"Last summer I took a course of one week in Switzerland of climbing so I have good knowledge of this sport .
",15 19,,R:OTHER,,
"In the street is so crowded that you ca n't walk like usually and if you go with some friends you can be sure that you will lost them .
",12 13,,R:OTHER,,
"In the shops is worth , if you are lucky and you find a clothes with your right size you will wait 20 min . at the fitting room and after that 20 min more at the cash desk .
",15 17,,R:OTHER,,
"In the shops is worth , if you are lucky and you find a clothes with your right size you will wait 20 min . at the fitting room and after that 20 min more at the cash desk .
",23 25,,R:OTHER,,
"At the end of the month when your husband will receive the bill from you visa card he will have an heart - attack !
",13 17,,R:OTHER,,
"We think that perhaps in Tuesday March 14 , we could change the time of going to Science Museum , and ( we ) go earlier to the Museum , such as half past eight on the morning , so we could go after , at ten o'clock to the show , and we could also delay going shopping on that afternoon , because the show lasts til seven o'clock on the evening .
",14 15,,R:OTHER,,
"We think that perhaps in Tuesday March 14 , we could change the time of going to Science Museum , and ( we ) go earlier to the Museum , such as half past eight on the morning , so we could go after , at ten o'clock to the show , and we could also delay going shopping on that afternoon , because the show lasts til seven o'clock on the evening .
",21 24,,U:OTHER,,
"We think that perhaps in Tuesday March 14 , we could change the time of going to Science Museum , and ( we ) go earlier to the Museum , such as half past eight on the morning , so we could go after , at ten o'clock to the show , and we could also delay going shopping on that afternoon , because the show lasts til seven o'clock on the evening .
",30 32,,R:OTHER,,
"I think that the home of the Future would probably be better than it is now .
",13 14,,R:OTHER,,
"Computer will take a important part in our daily life , so that we wo n't go shopping , because in the computer we would buy whatever we want .
",24 25,,R:OTHER,,
"That things wo n't change in our home .
",0 1,,R:OTHER,,
"In conclusion , in the future home our conditions of life will approve , and computer will be very important for us , but is wo n't control us , because we still have the most important thing of a home = have , that will be the same as now .
",8 11,,R:OTHER,,
"In conclusion , in the future home our conditions of life will approve , and computer will be very important for us , but is wo n't control us , because we still have the most important thing of a home = have , that will be the same as now .
",24 25,,R:OTHER,,
"I received your letter which says I won the first prize in your competition - two weeks at Camp California in the U.S.A. I apreicate it and I thank you a lot that you have chosen me as a winner .
",30 32,,R:OTHER,,
"I received your letter which says I won the first prize in your competition - two weeks at Camp California in the U.S.A. I apreicate it and I thank you a lot that you have chosen me as a winner .
",32 34,,R:OTHER,,
"Every years my parents used to sent me for holidays at Camps on the mountains so I would like to stay for a while in the same accommodation , and environment .
",8 10,,U:OTHER,,
"Every years my parents used to sent me for holidays at Camps on the mountains so I would like to stay for a while in the same accommodation , and environment .
",27 27,,M:OTHER,,
"Also , I like painting from young age , and I have taken part in a public exhibition , where I won the first prize . I would like to ask how much money I should have with me , where can I keep them ?
",39 40,,R:OTHER,,
"What about the clothes , you do n't mention anything .
",10 10,,M:OTHER,,
"Do I need something special or ordinary clothes ?
",6 6,,M:OTHER,,
"I am a member in the council team so I decided to help them at a pop concert that was organized in the last month .
",21 23,,U:OTHER,,
"Unless this preparation , I also took part to the concert .
",0 1,,R:OTHER,,
"Unless this preparation , I also took part to the concert .
",6 8,,R:OTHER,,
"My experience in camping is not so huge to stay in tents for 2 weeks .
",8 8,,M:OTHER,,
"Therefore , you asked me what activities I would like to join .
",0 3,,U:OTHER,,
"Therefore , you asked me what activities I would like to join .
",12 12,,M:OTHER,,
"Excuse me that I did n't write you sooner .
",0 7,,R:OTHER,,
"Anyway , what you wanted to know was what has been my job .
",9 13,,R:OTHER,,
"Whatever , if you ever will have the opportunity to do something like this then do it without hesitating .
",0 3,,U:OTHER,,
"I hope you will write me very soon and I hope you know more about my concert experience in the backstage area .
",11 13,,R:OTHER,,
"The advertisement that you distributed through all the magazines wee totally untrue .
",9 10,,R:OTHER,,
"lastly about the ticket advertisment saids ' Discouts Available ' but no way I had to pad full £ 20.00 and restaurant was closed because of rebuilding something .
",0 1,,R:OTHER,,
"I am not asking for full payment but minimum 50% that it paid for nothing but the disappoint .
",8 9,,R:OTHER,,
"Now a days fashion play big roll in our daily life .
",0 3,,R:OTHER,,
"Development of science produce new materials like water proof or fire proof fabrics .
",0 3,,R:OTHER,,
"For example Castum of Astronuts .
",2 5,,R:OTHER,,
"I expect human being'll live in the other planets and trevel around under sea .
",3 4,,R:OTHER,,
"I think people'll wear those spacy and Ciber looking cloth after a centry .
",2 3,,R:OTHER,,
"I think people'll wear those spacy and Ciber looking cloth after a centry .
",7 8,,R:OTHER,,
"I would like to let you know that I can only travel in July because that is the only time I can take leave from work .
",23 24,,R:OTHER,,
"I find shopping is the most time consuming .
",4 6,,R:OTHER,,
"If I want to buy a nice pair of shoe , I 'll have to go into a city centre and browse around from shops to shops until I find the shoes I like .
",24 27,,R:OTHER,,
"If I 'm not lucky enough to find one , then I 'll have to take a train trip to a larger shopping places such as London .
",8 9,,R:OTHER,,
"I AM WRITING IN ORDER TO COMPLAIN FOR THE TERRIBLE NIGHT I HAD IN YOUR THEATRE .
",7 8,,R:OTHER,,
"I WAS DISAPPOINTED TO FIND OUT THAT THE ACTOR WAS NOT THE ONE YOU WROTE I DISCOVERED THIS ONLY WHEN THE PLAY STARTED , AND IT WAS VERY LATE !
",25 26,,R:OTHER,,
"THIRDLY , I WAS VERY EMBARASED TO DISCOVER THERE WERE NOT DISCOUNTS AT THE ENTRANCE .
",10 11,,R:OTHER,,
"IN FACT THE RESTAURANT WAS CLOSED , VERY FAR FROM MY THOUGHTS .
",7 12,,R:OTHER,,
"ON THE BUS HE SAW A ROBBER WHILE HE WAS STEALING A WALLET , HE WANTED TO SCREAM , BUT HE WAS ASTONISHED .
",6 7,,R:OTHER,,
"WHEN THE ROBBER UNDERSTOOD HE COULD BE DISCOVERED HE SAID "" IF YOU DON'T KEEP THE SECRET I WILL KILL YOU "" .
",3 4,,R:OTHER,,
"EVENTUALLY THE ROBBER WAS CAUGHT BY THE POLICE , AND FOR HIS BRAVE AND HONESTY HE HAD A LOT OF FRIENDS .
",12 13,,R:OTHER,,
"Instead , you changed actor without any warning , so I did n't find my favourite Danny Brook , with my total disappointment , as his substitute could n't catch him up at all .
",19 20,,R:OTHER,,
"Instead , you changed actor without any warning , so I did n't find my favourite Danny Brook , with my total disappointment , as his substitute could n't catch him up at all .
",29 32,,R:OTHER,,
"I was very annoyed about it : I only expected the discounts you had promised on the advertisement and , as I am a university student , I would have a right on it .
",33 34,,R:OTHER,,
"At the top of everything , your theatre restaurant was closed because it was being restructurated , so I could n't have my dinner either !
",0 2,,R:OTHER,,
"It ' already four years since I bought my first cellular phone ( then I changed it many times ) and it is always very useful for me : everyone can speak with me wherever I am .
",1 2,,R:OTHER,,
"For example , now I 'm writing my thesis , but I use my pc everytime I have to write a document in a perfect form .
",22 26,,R:OTHER,,
"I would like to point out the problems when I went to watch your musical show ' Over the Rainbow ' at the Circle Theatre .
",8 8,,M:OTHER,,
"I was rather thirsty and hungry after the show and on your advertisment , it made a cup of tea and some cakes in your restaurant sound rather inviting .
",13 15,,U:OTHER,,
"It was not my ' perfect evening out ' , as your advertisment said it would be , and I would like some refund back .
",23 24,,R:OTHER,,
"From that day onwards , Pat and I stopped being friends .
",0 4,,R:OTHER,,
"I cried for days straight , eating and sleeping very little .
",4 5,,R:OTHER,,
"I am still missing Pat , but my pain is nearly over now .
",1 4,,R:OTHER,,
"There will be shown the latest fashions , leisure and sportwear , some make up and also different hairstyles .
",10 11,,R:OTHER,,
"It 's a natural reaccion to be angry with somebody you do n't trust for gossiping and bothering your personal thoughts .
",16 16,,M:OTHER,,
"I thing that journalit 's only aim is money , be cause they know that if they publish famous people 's private life they would earn lot 's of money selling the magazine or the newspaper .
",1 2,,R:OTHER,,
"I thing that journalit 's only aim is money , be cause they know that if they publish famous people 's private life they would earn lot 's of money selling the magazine or the newspaper .
",3 5,,R:OTHER,,
"But they do n't consider the problems the romours may bring to the famous family or couple .
",10 12,,R:OTHER,,
"Sometimes the journalit 's aim is n't the money : there are some journalists who may try to spoil the politician 's or film star 's career only because they are jealous .
",2 4,,R:OTHER,,
"In conclusion , no matter which or what the journalit 's aims are , famous people deserve to have their problems , their affairs , their private life just as normal people have .
",5 7,,U:OTHER,,
"First the musical show , Over the Rainbow started at 20:15 , and in the advertisement was written at 19:30 , then also was written that the actor was Danny Brook , but in the show appeared a different actor , that was really disappointing .
",18 18,,M:OTHER,,
"First she said to her father , then to her mother and finally to her brother , that I was from another planet called Orion , that was a billion kilometer distance of Earth and that I was so ashamed because I have been his boyfriend since I have came to Earth .
",35 36,,R:OTHER,,
"My confession caused a disaster in the life of her and her family , and they called the police to take me out of the planet or arrested , so that I ca n't see her again .
",6 11,,R:OTHER,,
"After they caught me I think they brought me to the Area 57 , were the police do experiments .
",14 15,,R:OTHER,,
"I do n't now when I and going to be free , for going to my planet .
",6 7,,R:OTHER,,
"Their is two activities .
",0 1,,R:OTHER,,
"During the university I atend for two years tenis lessons .
",5 10,,R:OTHER,,
"I went with Big Brothers the name of the band .
",5 5,,M:OTHER,,
"They did not new each one .
",3 4,,R:OTHER,,
"They did not new each one .
",5 6,,R:OTHER,,
"They just meet each one a month ago .
",4 5,,R:OTHER,,
"During the time before the consert I had to look if every one was present .
",0 3,,R:OTHER,,
"I hope all the best for you !
",1 7,,R:OTHER,,
"Firstly , I have to say that I am studying at University and I wonder if I could travel on July because of the exams I have on May. Apart from that I would not be able to travel there until the end of June .
",29 32,,R:OTHER,,
"It does not matter to me whether I stay in tent or log cabin , but I would prefer tent to be much more in contact with wild life and nature .
",22 25,,R:OTHER,,
"If it were n't a calm and quite public , we would have had troubles .
",2 4,,R:OTHER,,
"If it were n't a calm and quite public , we would have had troubles .
",7 8,,R:OTHER,,
"If it were n't a calm and quite public , we would have had troubles .
",8 9,,R:OTHER,,
"Everything was all right during the perform of the band , but at the end some espectators came up to the stage and made some damage to the band 's instrument .
",6 10,,R:OTHER,,
"The singer and the guitarist were so angry that they went out immediately leaving the public without the last part of the show .
",10 12,,R:OTHER,,
"Althought all these things , I gained a lot of experience and I could be near one of my favourite pop stars , which was the better experience I 've ever had .
",0 1,,R:OTHER,,
"I 'm pleased to that I 've won the first prize at camp california in the U.S.A during two weeks .
",11 20,,R:OTHER,,
"Second of all ,
",0 3,,R:OTHER,,
"About the accomodation , I would prefer a log cabin , I think that will be more safety about all my stuff .
",0 1,,R:OTHER,,
"About the accomodation , I would prefer a log cabin , I think that will be more safety about all my stuff .
",16 18,,R:OTHER,,
"I 'm very keen to have the chance to do some activities , I 'm very attracted by the golf . I will be a beginner because I 've never done this sport before but I will have a try .
",9 10,,R:OTHER,,
"I 'm very keen to have the chance to do some activities , I 'm very attracted by the golf . I will be a beginner because I 've never done this sport before but I will have a try .
",16 18,,R:OTHER,,
"I 've been practicing this sport since 5 years , so I 'm quiet good .
",13 14,,R:OTHER,,
"I 've know idea what kind of weather it is in USA could you let me know what type of clothes should I bring with me .
",2 3,,R:OTHER,,
"I 've know idea what kind of weather it is in USA could you let me know what type of clothes should I bring with me .
",5 10,,R:OTHER,,
"yours Sincerly
",1 2,,R:OTHER,,
"The stage was gigantesque the crowed could be all around .
",5 6,,R:OTHER,,
"I really enjoyed to be next to the pop stars I got a lot of autographes , that was the first time I 've seen like Jagger a lot of well know pop stars was there .
",31 32,,R:OTHER,,
"I mean It 's still inbelivable , can you imagine that was like a dream I was checking their hands .
",10 12,,U:OTHER,,
"First point , I did n't see Danny BROOK as starring . I was coming to see him but there was a different actor .
",9 11,,U:OTHER,,
"Second point , the musical show had to begin at 7:30 PM but we have waited for fourty five minutes to see the show started .
",17 18,,R:OTHER,,
"Third point , your advertisement told about "" discount available "" about the ticket 's price but it was n't .
",13 16,,R:OTHER,,
"Third point , your advertisement told about "" discount available "" about the ticket 's price but it was n't .
",17 18,,R:OTHER,,
"Third point , your advertisement told about "" discount available "" about the ticket 's price but it was n't .
",20 20,,M:OTHER,,
"Fourth point , after the show , I wanted to visit your theatre restaurant but it was closed and no one did n't know why !
",21 23,,U:OTHER,,
"We live in a society where the technology grows up everyday .
",8 10,,R:OTHER,,
"My plan will be very simple : a description in a first time and an analysis in a second time .
",9 11,,U:OTHER,,
"My plan will be very simple : a description in a first time and an analysis in a second time .
",16 18,,U:OTHER,,
"After , when I take my breakfast , I use my toaster for my bread and , as I want a hot milk , I use my modern oven too .
",0 1,,R:OTHER,,
"After , when I take my breakfast , I use my toaster for my bread and , as I want a hot milk , I use my modern oven too .
",28 29,,R:OTHER,,
"I do n't know if it is good or bad but we are a generation who 's grown up with technologies progress .
",15 17,,R:OTHER,,
"Most of attractions are excellent , but I 'd like to point out that "" quality is high , but quantity is not enough!.
",23 24,,R:OTHER,,
"Second , some concert hall were too small , so some audience could n't concentrate to listen to the music .
",11 11,,M:OTHER,,
"But "" All in one ticket "" was a good idea .
",2 4,,R:OTHER,,
"I pressume if the term becomes longer the festival become more excellent .
",10 12,,R:OTHER,,
"AT first , in Japan , generally school rules are more strictly than home 's .
",11 12,,R:OTHER,,
""" Whenever the students wear an extra cloth ( because of cold or something ) his or her ( not students ! ) parents write down an application form with their authorized signatures "" .
",7 7,,M:OTHER,,
""" Whenever the students wear an extra cloth ( because of cold or something ) his or her ( not students ! ) parents write down an application form with their authorized signatures "" .
",24 26,,R:OTHER,,
"You will ask me why , the reason is the above ... ""unify "" .
",9 10,,R:OTHER,,
"You will ask me why , the reason is the above ... ""unify "" .
",12 13,,R:OTHER,,
"We think that it is a great opportunity because it is just one time per year and it is free for stundents .
",12 14,,R:OTHER,,
"If it is possible , we want to go to the "" London Fashion and Leisure Show "" and do n't go shopping .
",19 21,,R:OTHER,,
"I though it was some rubbers .
",1 2,,R:OTHER,,
"Firstly , as I wanted to buy a ticket , I was informed that no discounts were available .
",2 3,,R:OTHER,,
"Not only the play started 45 minutes after it was planned , but as the actors eventually appeared at the stage , have I also seen , that Danny Brook was replaced by a different actor , who was very disappointing in his role .
",13 14,,R:OTHER,,
"Not only the play started 45 minutes after it was planned , but as the actors eventually appeared at the stage , have I also seen , that Danny Brook was replaced by a different actor , who was very disappointing in his role .
",22 26,,R:OTHER,,
"To make matters even worse , the theatre restaurant was closed after the show , without any information given about the reason of it 's closure .
",23 25,,R:OTHER,,
"Do you think , that world will be different from current world then ?
",10 11,,R:OTHER,,
"What is more , ground will be so hot , that going will only be possible in huge shoes , which should be massive , but not heavy at all .
",11 12,,R:OTHER,,
"Firstly I found amazing the number of starts and artist who came to the festival although they where from only six countries around the world .
",3 15,,R:OTHER,,
"Firstly I found amazing the number of starts and artist who came to the festival although they where from only six countries around the world .
",17 18,,R:OTHER,,
"The concerts and the dance show were incredable , except for the classical concert that halled to small .
",15 15,,M:OTHER,,
"The concerts and the dance show were incredable , except for the classical concert that halled to small .
",15 18,,R:OTHER,,
"Secondly the plays and films were very good organized despide being short number .
",7 8,,R:OTHER,,
"The price has been excelent because there was n't any limit of hours .
",10 13,,R:OTHER,,
"Your Sincerely
",0 1,,R:OTHER,,
"The rules in my country are standart , I mean , the rules are very similar to other countries in Europe .
",6 7,,R:OTHER,,
"As well you are n't allowed to bring drugs or arms , to smoke or to drink alcohol inside the school .
",0 5,,R:OTHER,,
"I can go out at night once a week if I tell them were I 'm going to be .
",13 14,,R:OTHER,,
"In case I lie them or do n't explain my plans that my friends and I have I want be able to go out .
",0 2,,R:OTHER,,
"In case I lie them or do n't explain my plans that my friends and I have I want be able to go out .
",18 19,,R:OTHER,,
"As well have the responsability to look after my brother in case they are n't at home .
",10 12,,R:OTHER,,
"Answering to you question I wo n't change nothing because I think that these are the minimum rules that a theenager have to have to be responsable in a future .
",0 1,,R:OTHER,,
"I can only travel in July , because the Hospital I work for has accepted my holidays on that month .
",14 15,,R:OTHER,,
"Is it necessary to take dressed cloth for any formal events ?
",5 7,,R:OTHER,,
"We arrived at the stadium the previous evening .
",6 8,,R:OTHER,,
"When we finished clearing , some of us offered our help to enter the sound equipment into the stadium .
",3 4,,R:OTHER,,
"And then , when all was prepared , Celine appeared in the scenary to make some sound tests .
",4 5,,R:OTHER,,
"Please , make sure you can come next weekend . We will be able to talk bout the concert and we will listen together to the last Celine Dion 's C.D.
",26 31,,R:OTHER,,
"During my stay I read an advertisement of a musical show being held at The Circle Theatre .
",12 13,,R:OTHER,,
"As I was reading the advertisement I got very excited , because I am a great fan of Danny Brook , and he was going to be performing in the play .
",30 31,,R:OTHER,,
"As I got to the theatre I asked for the discounts shown in your advertisement , but they were not avaible .
",0 1,,R:OTHER,,
"Even though I was still excited about the show , but then I sudently realise that Danny Brook is not performing , he had been replaced by an extremely disappointing actor .
",0 2,,R:OTHER,,
"In my opinion , technology is making my life much better because of that .
",11 13,,R:OTHER,,
"We saw your details and enjoyed them .
",6 6,,M:OTHER,,
"The show can be seen between 10.00 - 19.00 .
",2 6,,R:OTHER,,
